Food Item,Serving Size,Calories,Total Fat,Total Carb,Sat Fat,Dietary Fiber,Trans Fat,Sugar,Cholesterol,Protein,Sodium,Dietary Restrictions
Follow Your Heart Vegan Caesar Dressing,1 ozl,70,7g,1g,0.5g,0g,0g,0g,0mg,0g,189.9mg,"Vegan, Soy, Gluten Friendly, Alcohol, Vegetarian, Halal"
Follow Your Heart Vegan Ranch Dressing,1 ozl,140,15g,1g,1g,0g,0g,0g,0mg,0g,150mg,"Vegan, Soy, Gluten Friendly, Vegetarian, Halal"
Gluten Free Tamari Soy Sauce,1 oz,19,0g,0g,0g,0g,0g,0g,0mg,3.7g,1712mg,"Vegan, Soy, Gluten Friendly, Alcohol, Vegetarian, Halal"
Grape Jelly,1 each,35,0g,9.2g,0g,0g,0g,9.2g,0mg,0g,10.6mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Grape Jelly,1 oz,85,0g,19.8g,0g,0g,0g,17g,0mg,0g,0mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Grated Parmesan Cheese,1 oz,119,7.9g,3.9g,4.4g,0g,0.2g,0g,24.4mg,8.1g,511.4mg,"Vegetarian, Milk, Gluten Friendly, Halal"
Guacamole,1 oz,47,4.7g,1.9g,0.9g,0.9g,0g,0g,0mg,0.9g,122.9mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Honey Mustard,1 ozl,128,10.9g,5.9g,1.5g,0g,0g,4.9g,9.9mg,0g,148.1mg,"Vegetarian, Soy, Egg, Gluten Friendly, Halal"
Imitation Maple Syrup,1 ozl,81,0g,20.7g,0g,0g,0g,11.1g,0mg,0g,74mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Ken's Honey Mustard Dressing,1 ozl,149,13.9g,7g,2g,0g,0g,7g,10mg,0g,129.5mg,"Vegetarian, Soy, Egg, Gluten Friendly, Halal"
Ken's Ranch Dressing,1 ozl,127,12.7g,2.9g,1.9g,0g,0g,1g,9.7mg,1g,194.8mg,"Vegetarian, Soy, Egg, Milk, Gluten Friendly, Halal"
Ketchup,1 ozl,30,0g,8.1g,0g,0g,0g,8.1g,0mg,0g,322.4mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Low-Fat Italian Dressing,1 ozl,109,11.9g,2g,2g,0g,0g,2g,0mg,0g,266.6mg,"Vegan, Soy, Gluten Friendly, Vegetarian, Halal"
Mustard,1 ozl,0,0g,5.9g,0g,0g,0g,0g,0mg,0g,325.9mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Nutella,1 oz,153,9.2g,16.1g,3.1g,0.8g,0g,16.1g,0mg,1.5g,11.5mg,"Vegetarian, Soy, Milk, Tree Nut, Gluten Friendly, Halal"
Nutritional Yeast,1/4 oz,27,0g,2.4g,- g,1.6g,- g,0g,0mg,3.9g,19.7mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Orange Marmalade,1 oz,71,0g,18.4g,0g,0g,0g,15.6g,0mg,0g,0mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Organic Agave Syrup,1/2 ozl,56,0.1g,13.9g,0g,0g,- g,12.4g,0mg,0g,0.7mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Peanut Butter,1 each,121,10.1g,5.1g,2g,2g,0g,2g,0mg,4.1g,91.1mg,"Vegan, Peanuts, Gluten Friendly, Vegetarian, Halal"
Pepper Plant Hot Sauce,1 tsp,0,0g,0g,0g,0g,0g,0g,0mg,0g,150mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Pico de Gallo Salsa,1 oz,5,0g,2g,0g,0g,0g,1g,0mg,0g,15.2mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Plain Cream Cheese,1 oz,99,9.8g,1.6g,5.7g,0g,0.3g,1.1g,28.6mg,1.7g,89mg,"Vegetarian, Milk, Gluten Friendly, Halal"
Salsa Picante,1 oz,10,0g,2g,0g,0g,0g,1g,0mg,0g,197.5mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Salsa Verde,1 oz,10,0g,2.1g,0g,0.2g,0g,0.8g,0mg,0.2g,373.4mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Salted Butter,1 each,72,8.1g,0g,5.1g,0g,0.3g,0g,21.5mg,0.1g,64.3mg,"Vegetarian, Milk, Gluten Friendly, Halal"
Salted Butter,1/2 oz,101,11.5g,0g,7.3g,0g,0.5g,0g,30.4mg,0.1g,91mg,"Vegetarian, Milk, Gluten Friendly, Halal"
Sour Cream,1 ozl,75,7.5g,2.5g,4.4g,0g,0g,2.5g,31.1mg,1.2g,31.1mg,"Vegetarian, Milk, Gluten Friendly, Halal"
Sriracha Hot Chili Sauce,1 ozl,32,0.3g,6.7g,- g,0g,- g,4.6g,- mg,0.6g,860mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Strawberry Jam,2 oz,113,0g,28.4g,0g,0g,0g,22.7g,0mg,0g,0mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Strawberry Jelly,1 each,36,0g,9.3g,0g,0g,0g,8.6g,0mg,0g,0mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Strawberry Topping,2 oz,22,0g,6.2g,0g,0.9g,0g,5.3g,0mg,0g,8.9mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Tabasco Green Pepper Sauce,1 ozl,0,0g,0g,0g,0g,0g,0g,0mg,0g,945.2mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Thousand Island Dressing,1 ozl,139,12.8g,4.3g,2.1g,0g,0g,4.3g,10.7mg,0g,224.5mg,"Vegetarian, Soy, Egg, Gluten Friendly, Halal"
Unsalted Butter,1/2 oz,101,11.5g,0g,7.1g,0g,0.5g,0g,30.4mg,0.1g,1.6mg,"Vegetarian, Milk, Gluten Friendly, Halal"
Vegan Cream Cheese,1 oz,76,6.6g,3.8g,4.3g,0g,0g,0g,0mg,0g,113.4mg,"Vegan, Tree Nut, Gluten Friendly, Vegetarian, Halal"
Vegan Cream Cheese With Chives,1 oz,60,5g,4g,4.5g,0g,0g,0g,0mg,0g,190mg,"Vegan, Tree Nut, Gluten Friendly, Vegetarian, Halal"
Vegan Mayonnaise,1/2 oz,81,9.1g,0g,0.5g,0g,0g,0g,0mg,0g,76mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Artichoke Hearts,1 oz,8,0g,1.3g,0g,0.9g,0g,0.2g,0mg,0.4g,93mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Bell Pepper,2 oz,15,0.1g,3.2g,0g,0.9g,0g,1.2g,0mg,0.5g,1.7mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Black Beans,2 oz,57,0g,10.4g,0g,2.4g,0g,0.5g,0mg,3.3g,51.8mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Blanched Peas,3 oz,9,0g,1.6g,0g,0.5g,0g,0.5g,0mg,0.6g,135.7mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
Broccoli,2 oz,16,0.2g,2.9g,0g,1.3g,0g,0.8g,0mg,1.7g,15.3mg,"Vegan, Gluten Friendly, Vegetarian, Halal"
